bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
93,116,36,7180,246,-69,315,165,14,182,-4,1360,133,95,11,385,296,376,296,47_91_52
101,126,39,7104,258,-63,321,99,108,190,7,1415,142,94,10,385,312,377,341,47_29_25
103,124,38,7275,262,-62,324,177,23,194,6,1285,125,91,10,363,281,352,281,47_91_32
116,132,40,7291,276,-54,330,33,170,206,18,1575,164,95,13,445,329,394,421,47_9_31
124,134,40,7365,286,-47,333,40,179,215,25,1498,157,89,14,424,309,378,401,47_9_70
131,132,39,7435,294,-40,334,47,186,224,32,1431,150,83,14,405,291,366,383,47_9_58
140,132,39,7484,303,-31,334,55,147,233,40,1399,148,81,15,399,282,358,376,47_9_47
137,134,40,7397,299,-34,333,52,144,228,38,1432,151,83,15,408,289,366,385,47_9_61
88,116,37,7090,238,-73,311,6,140,176,-7,1827,185,122,9,495,406,458,465,47_9_7
77,109,35,7016,224,-79,303,75,128,164,-17,1901,188,134,8,510,438,485,467,47_155_6
86,116,37,7029,235,-74,309,83,137,173,-8,1820,182,125,8,489,414,463,454,47_155_10
80,111,36,7031,228,-78,306,78,131,167,-14,1848,183,129,8,496,425,473,454,47_155_11
122,136,40,7301,285,-49,334,38,175,213,24,1578,167,95,13,455,331,390,428,47_123_61
126,127,35,8195,298,-56,354,209,186,227,15,1253,127,76,13,355,272,332,296,21_203_11
128,128,36,8141,299,-54,353,210,187,228,17,1249,126,76,13,352,271,329,297,21_125_43
126,127,36,8095,297,-55,352,208,185,226,16,1267,127,78,12,356,275,332,302,21_125_44
93,117,37,7175,246,-69,315,165,14,182,-4,1364,134,96,11,386,297,378,297,47_91_48
113,131,39,7432,278,-55,333,189,31,206,14,1205,121,87,11,345,264,334,268,47_91_56
110,130,39,7244,270,-57,327,183,66,201,13,1233,124,80,12,345,263,342,287,47_59_25
133,137,40,7492,302,-37,339,49,189,227,34,1509,163,92,14,440,316,362,412,47_139_93
139,138,40,7596,309,-34,343,54,195,235,38,1460,158,89,14,425,303,347,401,47_139_70
97,120,37,7233,254,-66,320,170,18,188,1,1325,131,94,11,376,290,366,291,47_91_26
120,131,39,7496,285,-49,334,196,75,214,21,1175,121,80,12,337,254,328,270,47_163_22
112,130,39,7312,274,-56,330,186,68,204,15,1207,123,78,13,340,256,336,281,47_59_66
124,132,39,7567,290,-47,337,200,78,219,23,1156,120,78,12,333,249,324,267,47_163_15
79,110,35,7046,227,-79,306,77,131,166,-15,1867,185,130,8,502,427,476,461,47_155_68
127,128,36,8046,298,-53,351,208,185,226,18,1269,127,78,12,356,275,332,304,21_125_13
128,130,37,7989,299,-51,350,208,187,227,20,1291,126,80,12,359,281,335,315,21_199_53
128,131,37,7946,299,-50,349,208,187,227,21,1297,126,81,11,359,283,336,317,21_147_16
127,132,37,7905,299,-51,350,206,186,225,20,1318,128,83,11,364,287,341,325,21_147_21
124,131,39,7502,289,-45,334,39,180,218,24,1574,169,97,13,453,329,376,427,47_139_113
140,138,40,7579,309,-33,342,55,196,235,39,1455,158,89,14,424,303,344,400,47_139_71
136,137,40,7487,304,-35,339,51,191,229,36,1501,162,92,14,438,314,358,411,47_139_72
101,115,36,7266,254,-61,315,18,154,191,3,1833,192,119,11,517,393,438,486,47_139_104
132,133,39,7453,298,-37,335,48,187,225,33,1545,166,96,14,451,324,366,423,47_139_73
133,134,39,7509,300,-37,337,49,188,227,33,1530,165,94,14,446,320,363,418,47_139_82
138,136,40,7543,307,-33,340,54,194,233,38,1482,160,91,14,432,309,350,407,47_139_114
125,130,38,7498,290,-44,334,40,180,219,25,1580,169,98,13,455,331,375,429,47_139_115
126,129,38,7479,289,-43,332,41,181,219,26,1582,170,98,14,458,331,373,431,47_139_106
119,132,39,7493,284,-51,335,194,74,213,19,1183,121,84,11,339,258,330,268,47_163_17
103,127,39,7105,259,-62,321,174,62,192,8,1334,131,96,11,372,295,367,300,47_171_31
116,133,40,7308,278,-53,331,189,73,207,18,1225,125,83,12,349,264,341,280,47_171_37
121,136,40,7373,285,-50,335,195,77,213,23,1183,125,77,14,342,249,335,270,47_171_28
116,133,40,7315,278,-54,332,189,73,207,18,1197,125,78,13,343,254,336,275,47_171_43
104,128,39,7105,261,-61,322,176,62,192,9,1314,128,94,11,365,289,360,299,47_171_48
112,131,39,7296,274,-55,329,186,69,204,15,1217,124,81,12,344,260,339,280,47_171_38
116,133,40,7331,278,-54,332,190,73,208,18,1211,125,81,13,347,259,339,277,47_171_36
130,137,40,7453,297,-41,338,46,184,223,31,1527,164,92,14,443,319,372,416,47_139_78
136,138,40,7541,305,-37,342,51,191,230,36,1484,160,90,14,432,309,357,406,47_139_102
