bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
98,118,38,6869,247,-59,306,95,104,184,7,1942,192,147,7,513,461,494,474,37_175_19
93,118,37,7151,245,-69,314,11,145,182,-3,1852,190,122,10,511,405,455,482,37_75_10
104,127,39,7094,260,-61,321,23,157,192,9,1778,185,115,11,501,386,434,473,37_39_3
105,130,40,7011,262,-59,321,102,111,192,11,1533,157,103,10,415,341,397,380,37_87_18
100,124,38,7163,255,-66,321,18,152,189,4,1732,178,111,11,480,374,430,453,37_173_90
98,125,39,7045,253,-65,318,96,105,186,4,1567,158,105,9,424,349,408,386,37_87_87
94,118,38,6924,243,-66,309,165,2,181,2,1589,153,113,9,428,354,426,354,37_111_63
83,119,35,7849,244,-93,337,163,94,178,-24,1440,148,105,10,404,327,395,334,54_75_1981
77,115,34,7898,239,-97,336,157,-30,173,-30,1364,135,98,9,380,309,372,309,54_75_2006
78,117,34,7876,242,-95,337,158,-29,174,-29,1287,126,92,9,357,286,348,286,54_75_2017
79,116,34,7848,240,-95,335,159,89,174,-28,1438,145,106,9,399,332,389,333,54_75_2023
76,114,34,7904,238,-97,335,156,-32,172,-32,1359,133,98,8,377,307,367,307,54_75_2024
73,112,33,7797,232,-98,330,153,-33,168,-33,1448,144,107,9,401,332,390,332,54_75_2059
80,117,34,7817,241,-94,335,159,-27,175,-27,1397,141,103,9,389,321,379,321,54_75_2161
80,117,34,7819,241,-94,335,160,91,175,-27,1405,144,103,10,395,321,386,322,54_75_2164
83,119,35,7884,245,-92,337,164,95,179,-24,1455,149,107,10,406,330,397,340,54_75_2169
83,120,35,7859,246,-91,337,163,95,179,-24,1391,143,102,10,390,318,381,320,54_75_2235
90,125,36,7922,258,-87,345,170,-17,187,-17,1241,129,86,11,353,274,347,274,54_75_2249
82,120,35,7845,245,-92,337,163,-24,178,-24,1365,140,100,10,383,312,374,312,54_75_2250
89,126,36,7923,258,-86,344,169,-18,187,-18,1227,124,87,9,342,273,333,273,54_75_2295
69,109,33,7829,227,-102,329,149,-38,164,-38,1489,145,110,8,409,343,397,343,54_75_2323
72,110,33,7823,230,-99,329,152,83,167,-34,1499,150,111,9,417,346,406,347,54_75_2351
88,124,36,7910,255,-88,343,168,-20,185,-20,1259,129,89,10,355,281,347,281,54_75_2512
95,132,37,7951,266,-85,351,175,-13,192,-13,1219,130,86,12,350,272,345,272,54_75_2477
84,121,35,7869,247,-92,339,164,95,180,-23,1390,144,101,10,392,316,384,319,54_75_2491
73,112,33,7908,234,-99,333,153,-34,170,-34,1390,135,100,8,384,315,374,315,54_75_2500
79,116,34,7907,242,-95,337,160,-28,176,-28,1389,139,99,10,391,317,384,317,54_83_570
76,114,33,7915,239,-97,336,157,-31,173,-31,1400,138,100,9,393,319,384,319,54_83_687
80,118,34,7936,246,-93,339,161,-27,178,-27,1292,129,90,10,367,287,360,287,54_83_693
78,115,34,7891,239,-96,335,158,-30,174,-30,1431,143,104,9,399,330,390,330,54_83_806
74,112,33,7871,234,-99,333,154,-34,169,-34,1439,141,105,8,398,331,388,331,54_83_854
77,115,34,7893,240,-96,336,157,-30,173,-30,1338,132,95,9,374,301,366,301,54_83_992
75,116,34,7961,240,-98,338,156,-33,172,-33,1384,136,98,10,391,315,383,315,54_83_1083
69,109,32,7880,228,-103,331,150,-38,165,-38,1474,143,108,8,406,340,395,340,54_83_1109
83,119,35,7939,249,-91,340,163,-25,180,-25,1257,126,87,11,359,277,353,277,54_83_1402
78,116,34,7911,242,-96,338,158,-29,175,-29,1324,131,93,9,372,297,364,297,54_83_1421
78,115,34,7927,240,-96,336,158,-30,174,-30,1404,140,101,9,394,321,385,321,54_83_1454
80,117,34,7918,245,-94,339,160,-27,177,-27,1286,128,90,10,364,286,357,286,54_83_1458
105,132,35,8410,289,-79,368,191,-7,211,-7,929,94,57,16,277,175,272,175,54_27_2028
86,120,35,7880,248,-90,338,166,97,182,-21,1404,145,101,10,396,320,388,323,54_83_1783
75,112,33,7877,234,-98,332,155,-33,170,-33,1467,145,108,9,406,340,396,340,54_83_1803
93,126,36,7946,261,-84,345,173,-15,191,-15,1265,134,85,13,369,276,366,276,54_83_1918
76,115,34,7920,239,-97,336,157,-31,173,-31,1357,134,97,9,380,307,371,307,54_83_2038
96,130,37,8026,269,-81,350,177,-12,195,-12,1198,125,79,14,354,256,352,256,54_83_2066
74,112,33,7880,234,-99,333,155,86,170,-33,1464,145,107,9,407,339,397,339,54_83_2067
84,123,35,7978,254,-90,344,165,-23,183,-23,1280,128,88,11,369,284,362,284,54_83_2115
86,122,35,7932,254,-89,343,166,-22,183,-22,1250,127,85,11,360,274,354,274,54_83_2222
79,116,34,7903,241,-95,336,160,-28,175,-28,1417,142,103,9,395,326,386,326,54_83_2276
75,114,33,7921,238,-98,336,156,-32,172,-32,1312,128,93,9,366,292,358,292,54_83_2332
79,117,34,7918,243,-95,338,159,-28,176,-28,1333,133,94,10,376,299,368,299,54_83_2392
85,123,35,7954,254,-88,342,166,-22,184,-22,1249,126,85,11,360,274,355,274,54_83_2428
86,123,35,7974,255,-88,343,167,-22,184,-22,1295,131,89,12,374,288,369,288,54_83_2473
77,114,34,7879,238,-97,335,158,89,173,-30,1456,145,107,9,403,338,393,338,54_83_2497
83,119,35,7849,245,-91,336,163,93,179,-24,1392,145,101,11,395,315,387,318,54_25_509
93,129,37,7864,263,-82,345,173,-13,190,-13,1136,117,82,11,323,251,317,251,54_25_865
94,132,37,7921,267,-83,350,175,-13,192,-13,1165,120,83,11,329,259,323,259,54_25_125
92,122,34,8228,267,-86,353,175,-19,194,-19,1032,104,65,15,300,200,292,200,54_31_229
95,127,35,8137,272,-83,355,178,-14,197,-14,994,100,62,15,291,192,286,192,54_31_395
99,128,35,8319,279,-82,361,184,-12,203,-12,968,98,60,16,286,184,280,184,54_31_990
93,121,34,8277,268,-86,354,177,-19,196,-19,1018,103,64,15,298,197,289,197,54_31_1316
98,128,35,8227,276,-82,358,181,-13,200,-13,978,99,60,16,288,186,282,186,54_31_1361
93,125,35,8156,269,-85,354,176,-17,194,-17,1009,102,63,15,296,195,289,195,54_31_1366
70,115,33,7979,238,-101,339,152,-37,169,-37,1333,127,94,9,375,298,365,298,54_93_43
70,115,34,7969,237,-101,338,151,-37,168,-37,1319,126,92,9,371,292,361,292,54_93_218
77,118,34,7941,245,-96,341,158,89,174,-31,1364,134,96,10,387,309,379,310,54_93_238
93,128,36,8092,268,-81,349,175,105,194,-15,1259,129,85,13,371,276,364,277,54_93_424
99,131,37,8126,276,-76,352,181,-9,201,-9,1223,127,82,14,364,266,359,266,54_93_569
92,126,36,8100,266,-83,349,174,103,192,-17,1289,132,87,13,378,283,372,286,54_93_668
74,116,34,7969,240,-98,338,155,87,172,-34,1400,137,99,10,396,318,387,320,54_93_824
75,119,34,7957,244,-97,341,156,-32,173,-32,1354,131,95,10,383,307,374,307,54_93_857
87,125,36,8068,260,-87,347,169,99,186,-22,1307,132,88,13,380,284,373,294,54_93_887
98,128,35,8255,277,-83,360,182,-13,200,-13,970,99,60,16,288,185,281,185,54_31_1618
102,130,35,8270,283,-80,363,186,-9,205,-9,952,97,59,16,283,181,277,181,54_31_1695
99,130,36,8222,279,-82,361,183,-11,202,-11,957,97,59,16,284,182,279,182,54_31_2154
94,126,35,8123,270,-84,354,176,-16,194,-16,1006,101,63,15,295,194,289,194,54_31_2466
96,129,36,8132,273,-79,352,178,107,197,-13,1236,127,83,13,365,271,358,271,54_93_1415
87,124,35,8027,258,-87,345,168,98,186,-21,1293,131,89,12,376,286,370,289,54_93_1962
73,118,34,7966,242,-99,341,154,-35,171,-35,1351,130,95,10,382,306,371,306,54_93_2126
74,119,35,7928,242,-98,340,154,-34,171,-34,1356,131,95,10,384,307,374,307,54_93_2147
